epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3217,2.55189,3.85247,2.57545,0.00333,1,0.0252,0.00962,2.21711,4.09652,2.74557,0.00014,0.00014,0.00014
2,20.2612,2.21918,3.55093,2.285,0.00267,0.8,0.02897,0.01341,1.75425,4.00355,2.15468,0.0002406,0.0002406,0.0002406
3,29.6229,1.88138,3.37487,1.99176,0.00333,1,0.10919,0.05453,1.52755,3.72166,1.84545,0.00027784,0.00027784,0.00027784
4,39.0761,1.67816,3.34525,1.82554,0.00333,1,0.21001,0.09448,1.54344,3.58103,1.68512,0.00025172,0.00025172,0.00025172
5,48.656,1.72504,3.09858,1.81218,0.00333,1,0.26184,0.13689,1.55216,3.49105,1.64901,0.00016224,0.00016224,0.00016224
