epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5074,2.55159,3.8528,2.57535,0.00333,1,0.02503,0.00976,2.21907,4.15925,2.76121,0.00014,0.00014,0.00014
2,48.4151,2.18217,3.56613,2.2671,0.00333,1,0.02661,0.00792,1.79695,4.17335,2.40278,0.00029406,0.00029406,0.00029406
